N,Bubble Sort (Tempo),Bubble Sort (Operacoes),Bubble Sort Otimizado (Tempo),Bubble Sort Otimizado (Operacoes),Insertion Sort (Tempo),Insertion Sort (Operacoes),Merge Sort (Tempo),Merge Sort (Operacoes),Quick Sort (Tempo),Quick Sort (Operacoes)
105000,17556,8273714985,18528,8273596157,1353,2761372484,12,5080641,7,3151765
106000,17976,8429827247,18823,8429754476,1375,2811986246,11,5132323,6,3157522
107000,18273,8584041344,19158,8583971593,1400,2859701843,12,5185429,6,3141160
108000,18627,8750722383,19892,8750620005,1430,2918884382,12,5236901,10,3138932
109000,18926,8910358493,19878,8910297418,1458,2970021992,12,5288859,7,3393226
110000,19328,9067129563,20241,9067085310,1481,3017294562,12,5341261,7,3451542
111000,19676,9238668533,20735,9238545773,1518,3078335032,12,5393864,7,3260016
112000,20007,9408804100,21100,9408518710,1537,3136972099,12,5446223,7,3354209
113000,20406,9574849287,21375,9574677882,1563,3190518786,12,5497103,7,3229203
114000,20661,9738840010,21745,9738407095,1608,3241011009,12,5548949,7,3462729
115000,21054,9920972219,22122,9920963174,1627,3308644718,12,5601262,7,3373385
116000,21444,10085543234,22520,10085358706,1646,3357717233,13,5653249,7,3477740
117000,21850,10260677188,22925,10260607063,1682,3416352687,13,5706326,8,3574555
118000,22108,10445645795,23477,10445570329,1707,3483822794,13,5757682,7,3504793
119000,22560,10623258885,23765,10623138590,1736,3542937384,13,5809786,7,3655974
120000,22968,10800503534,24180,10800258184,1764,3600683533,13,5860898,8,3564186
121000,23341,10979979211,24677,10979975470,1796,3659660710,13,5913646,8,3931374
122000,23699,11157667263,24888,11157601560,1825,3715850262,13,5965457,8,3736003
123000,24065,11344363341,25374,11343947925,1859,3780047840,14,6017786,8,3685058
124000,24532,11536283223,25821,11535956387,1893,3848469222,14,6070135,8,3709083
125000,24996,11722460425,26318,11722402795,1916,3910147924,14,6120976,8,3749664
126000,25362,11913688062,26647,11913528167,1950,3975877061,14,6173393,8,3829997
